"","id","text","retweetCount","CreatedAt","author.id","author.userName","author.followers","author.following","author.createdAt","isRetweet","date"
"652359","1649754932575195136","Deferred Action for Childhood Arrivals (#DACA) [Official USCIS video]
Aug 15, 2012

https://t.co/kUUJtWVKm6

#Immigration
#quikTake qt-daca-003 by #borderObserver",0,"Sat Apr 22 12:40:01 +0000 2023","895388295496073221","borderObserver",3134,463,"Wed Aug 09 20:56:19 +0000 2017",FALSE,"2023-04-22 05:40:01"
"652363","1649055353668272132","Immigrant activists denounce bill to recruit #DACA Dreamers into law enforcement
https://t.co/wgpQkhngvC
25 Feb 2022

AB-176 would allow law enforcement agencies in Wisconsin to hire people enrolled in the Deferred Action for Childhood Arrivals ..

qt-daca-067 #BorderObserver https://t.co/L107inpFcV",0,"Thu Apr 20 14:20:08 +0000 2023","895388295496073221","borderObserver",3134,463,"Wed Aug 09 20:56:19 +0000 2017",FALSE,"2023-04-20 07:20:08"
"653570","1645200672147623942","@AOC A federal appeals court ruled Oct. 5 that the Deferred Action for Childhood Arrivals program is unconstitutional, and that new applications will not be accepted, though renewals are allowed.",1,"Sun Apr 09 23:03:01 +0000 2023","4846230078","RicciGeri",37932,24937,"Mon Feb 01 21:40:57 +0000 2016",FALSE,"2023-04-09 16:03:01"
"653572","1644712963670933505","#RightBias
GOP States Request Federal Judge End DACA
https://t.co/bz0hhpu5dK
1 Feb 2023

Nine Republican states asked a federal judge in Texas to end the Deferred Action for Childhood Arrivals (DACA) program ..

#MAGA qt-maga-4083 #BorderObserver https://t.co/vpUCYtbg27",0,"Sat Apr 08 14:45:02 +0000 2023","895388295496073221","borderObserver",3134,463,"Wed Aug 09 20:56:19 +0000 2017",FALSE,"2023-04-08 07:45:02"
"653574","1643611965154111489","Immigrant activists denounce bill to recruit #DACA Dreamers into law enforcement
https://t.co/wgpQkhmIG4
25 Feb 2022

AB-176 would allow law enforcement agencies in Wisconsin to hire people enrolled in the Deferred Action for Childhood Arrivals ..

qt-daca-067 #BorderObserver https://t.co/FcL5dZEjZx",0,"Wed Apr 05 13:50:03 +0000 2023","895388295496073221","borderObserver",3134,463,"Wed Aug 09 20:56:19 +0000 2017",FALSE,"2023-04-05 06:50:03"
"764877","1655860392160116739","@CjDafirefooter @IsaacMyersHere @VastScope @lporiginalg A Green Card holder is a Lawful Permanent Resident. The former is an outdated colloquialism; the latter is an official designation.",0,"Tue May 09 09:00:56 +0000 2023","920789748368601088","8USC12",2807,112,"Wed Oct 18 23:12:38 +0000 2017",FALSE,"2023-05-09 02:00:56"
"764998","1653967547299921926","@CivilianBeing @David_J_Bier If you are approved as an immigrant and obtain a lawful permanent resident card (LAPR) and your family receives the LAPR card, how would thetly not be approved. Unless they only qualified for Employment Authorization Documents (EAD) and never adjusted status.",0,"Thu May 04 03:39:27 +0000 2023","1459905725015248896","PaulKseawatcher",2635,952,"Sun Nov 14 15:27:14 +0000 2021",FALSE,"2023-05-03 20:39:27"
"766874","1652885748280881152","For context, the “AS6” on her green card means she actually won asylum, waited at least one year in “asylee” status, and then applied for and was granted lawful permanent resident status.

She was 21, originally from Honduras, and would have arrived in her teens.

QEPD Diana.",44,"Mon May 01 04:00:46 +0000 2023","1034469513385963521","ReichlinMelnick",44184,1973,"Tue Aug 28 15:55:26 +0000 2018",FALSE,"2023-04-30 21:00:46"
"766876","1652880278489104385","Oh my GOD. One of the victims @GregAbbott_TX called an “illegal immigrant” had a green card! She was a 21-year-old woman originally from Honduras who won asylum (the AS6 code means “asylee”) and adjusted to lawful permanent resident status.

Her husband wants the truth out there.",182,"Mon May 01 03:39:02 +0000 2023","1034469513385963521","ReichlinMelnick",44184,1973,"Tue Aug 28 15:55:26 +0000 2018",FALSE,"2023-04-30 20:39:02"
"766951","1652452102629883904","@Brady_Gray @Toth_4_Texas A permanent resident (LPR) is not a citizen.  An LPR has completed the steps required to immigrante here (ie get the ""green card"") and after 3/5 years of LPR status is eligible for citizenship.  BTW, the military has always allowed LPRs to serve.",0,"Sat Apr 29 23:17:36 +0000 2023","419936019","PaulHerzog3",1347,1506,"Thu Nov 24 00:08:17 +0000 2011",FALSE,"2023-04-29 16:17:36"
